rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url,open_model_status,total_params_b,active_params_b,active_params_status,model_license
48,openai/o3@reasoning=low,openai,low,0.6606,0.2364,0.5636,13,11,31,55,0,openai/o3,2025-04-16,332,https://developers.openai.com/api/docs/changelog,,,,,
49,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.6273,0.1818,0.5455,10,15,30,55,1,anthropic/claude-3-haiku,2024-03-13,731,https://www.anthropic.com/news/claude-3-haiku,,,,,
50,google/gemini-3.1-pro-preview@reasoning=low,google,low,0.5879,0.2182,0.6182,12,9,34,55,0,google/gemini-3.1-pro-preview,2026-02-19,23,https://ai.google.dev/gemini-api/docs/changelog,,,,,
51,xiaomi/mimo-v2-flash@reasoning=none,xiaomi,none,0.5879,0.1636,0.5636,9,15,31,55,0,xiaomi/mimo-v2-flash,2025-12-16,88,https://mimo.xiaomi.com/blog/mimo-v2-flash,open_source,309,15,reported,mit
52,google/gemini-3-pro-preview@reasoning=high,google,high,0.5758,0.2364,0.6182,13,8,34,55,0,google/gemini-3-pro-preview,2025-11-18,116,https://ai.google.dev/gemini-api/docs/changelog,,,,,
53,z-ai/glm-5@reasoning=high,z-ai,high,0.5455,0.2,0.6545,11,8,36,55,0,z-ai/glm-5,2026-02-12,30,https://docs.z.ai/release-notes/new-released,open_source,744,40,reported,mit
54,google/gemini-2.5-pro@reasoning=default,google,default,0.5394,0.2364,0.6727,13,5,37,55,0,google/gemini-2.5-pro,2025-06-17,270,https://ai.google.dev/gemini-api/docs/changelog,,,,,
55,google/gemini-3.1-pro-preview@reasoning=high,google,high,0.5333,0.1818,0.6545,10,9,36,55,0,google/gemini-3.1-pro-preview,2026-02-19,23,https://ai.google.dev/gemini-api/docs/changelog,,,,,
56,openai/gpt-4o-2024-08-06@reasoning=default,openai,default,0.5333,0.1636,0.5818,9,14,32,55,0,openai/gpt-4o-2024-08-06,2024-08-06,585,https://developers.openai.com/api/docs/changelog,,,,,
57,openai/gpt-4o@reasoning=default,openai,default,0.5333,0.1455,0.5636,8,16,31,55,0,openai/gpt-4o,2024-05-13,670,https://developers.openai.com/api/docs/changelog,,,,,
58,openai/gpt-5-chat@reasoning=default,openai,default,0.5273,0.1455,0.6,8,14,33,55,0,openai/gpt-5-chat,2025-08-07,219,https://openai.com/index/introducing-gpt-5-for-developers/,,,,,
59,x-ai/grok-4.1-fast@reasoning=high,x-ai,high,0.5273,0.1455,0.6,8,14,33,55,0,x-ai/grok-4.1-fast,2025-11-19,115,https://x.ai/news/grok-4-1-fast,,,,,
60,openrouter/healer-alpha@reasoning=xhigh,stealth,xhigh,0.5212,0.1818,0.6545,10,9,36,55,0,openrouter/healer-alpha,,,,,,,,
61,baidu/ernie-4.5-300b-a47b@reasoning=default,baidu,default,0.5212,0.1273,0.6,7,15,33,55,0,baidu/ernie-4.5-300b-a47b,2025-06-30,257,https://ernie.baidu.com/blog/posts/ernie4.5/,open_source,300,47,reported,apache-2.0
62,openai/gpt-5.2-chat@reasoning=default,openai,default,0.503,0.1455,0.6182,8,13,34,55,0,openai/gpt-5.2-chat,2025-12-10,94,https://openai.com/index/introducing-gpt-5-2/,,,,,
63,minimax/minimax-m2.5@reasoning=low,minimax,low,0.497,0.1273,0.6545,7,12,36,55,0,minimax/minimax-m2.5,2026-02-12,30,https://www.minimaxi.com/news/minimax-m25,open_weights,229,,not_disclosed,modified-mit
64,openai/gpt-5.3-codex@reasoning=high,openai,high,0.4788,0.1273,0.6182,7,14,34,55,0,openai/gpt-5.3-codex,2026-02-05,37,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
65,openai/gpt-5.3-codex@reasoning=low,openai,low,0.4727,0.1455,0.6364,8,12,35,55,0,openai/gpt-5.3-codex,2026-02-05,37,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
66,google/gemini-2.0-flash-001@reasoning=default,google,default,0.4667,0.1273,0.7091,7,9,39,55,0,google/gemini-2.0-flash-001,2025-02-05,402,https://ai.google.dev/gemini-api/docs/changelog,,,,,
67,google/gemini-2.5-flash@reasoning=default,google,default,0.4636,0.1455,0.6909,8,9,38,55,1,google/gemini-2.5-flash,2025-06-17,270,https://ai.google.dev/gemini-api/docs/changelog,,,,,
68,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.4606,0.1273,0.6727,7,11,37,55,0,deepseek/deepseek-v3.2,2025-12-01,103,https://api-docs.deepseek.com/news/news251201,open_source,685,37,derived_from_first_party,mit
69,minimax/minimax-m2.5@reasoning=high,minimax,high,0.4545,0.1636,0.6909,9,8,38,55,0,minimax/minimax-m2.5,2026-02-12,30,https://www.minimaxi.com/news/minimax-m25,open_weights,229,,not_disclosed,modified-mit
70,openai/gpt-4.1@reasoning=default,openai,default,0.4545,0.1455,0.6727,8,10,37,55,0,openai/gpt-4.1,2025-04-14,334,https://developers.openai.com/api/docs/changelog,,,,,
71,z-ai/glm-5@reasoning=none,z-ai,none,0.4424,0.1636,0.6909,9,8,38,55,0,z-ai/glm-5,2026-02-12,30,https://docs.z.ai/release-notes/new-released,open_source,744,40,reported,mit
72,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.4424,0.1091,0.6727,6,12,37,55,0,openai/gpt-5.3-codex,2026-02-05,37,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
73,prime-intellect/intellect-3@reasoning=high,prime-intellect,high,0.4364,0.1091,0.6727,6,12,37,55,0,prime-intellect/intellect-3,2025-11-26,108,https://www.primeintellect.ai/blog/launching-intellect-3,open_source,106,12,reported,mit+apache-2.0
74,prime-intellect/intellect-3@reasoning=low,prime-intellect,low,0.4,0.1273,0.7273,7,8,40,55,0,prime-intellect/intellect-3,2025-11-26,108,https://www.primeintellect.ai/blog/launching-intellect-3,open_source,106,12,reported,mit+apache-2.0
75,openai/o4-mini@reasoning=low,openai,low,0.4,0.0909,0.6727,5,13,37,55,0,openai/o4-mini,2025-04-16,332,https://developers.openai.com/api/docs/changelog,,,,,
76,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.3758,0.1455,0.7455,8,6,41,55,0,deepseek/deepseek-v3.2,2025-12-01,103,https://api-docs.deepseek.com/news/news251201,open_source,685,37,derived_from_first_party,mit
77,xiaomi/mimo-v2-flash@reasoning=high,xiaomi,high,0.3636,0.0909,0.7273,5,10,40,55,0,xiaomi/mimo-v2-flash,2025-12-16,88,https://mimo.xiaomi.com/blog/mimo-v2-flash,open_source,309,15,reported,mit
78,bytedance-seed/seed-1.6@reasoning=none,bytedance-seed,none,0.3515,0.1091,0.7273,6,9,40,55,0,bytedance-seed/seed-1.6,2025-06-25,262,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,,,,,
79,google/gemini-3-flash-preview@reasoning=high,google,high,0.3455,0.1091,0.7273,6,9,40,55,0,google/gemini-3-flash-preview,2025-12-17,87,https://ai.google.dev/gemini-api/docs/changelog,,,,,
80,openai/o4-mini@reasoning=high,openai,high,0.3455,0.1091,0.7273,6,9,40,55,0,openai/o4-mini,2025-04-16,332,https://developers.openai.com/api/docs/changelog,,,,,
81,x-ai/grok-4.1-fast@reasoning=none,x-ai,none,0.3455,0.1091,0.7636,6,7,42,55,0,x-ai/grok-4.1-fast,2025-11-19,115,https://x.ai/news/grok-4-1-fast,,,,,
82,bytedance-seed/seed-1.6@reasoning=high,bytedance-seed,high,0.3333,0.0727,0.7273,4,11,40,55,0,bytedance-seed/seed-1.6,2025-06-25,262,https://seed.bytedance.com/zh/blog/seed1-6-%E7%B3%BB%E5%88%97%E6%A8%A1%E5%9E%8B%E6%8A%80%E6%9C%AF%E4%BB%8B%E7%BB%8D,,,,,
83,openai/gpt-oss-120b@reasoning=low,openai,low,0.3333,0.0364,0.6545,2,17,36,55,0,openai/gpt-oss-120b,2025-08-05,221,https://openai.com/index/introducing-gpt-oss/,open_weights,117,5.1,reported,apache-2.0
84,openai/gpt-4o-mini-2024-07-18@reasoning=default,openai,default,0.3212,0.0727,0.7091,4,12,39,55,0,openai/gpt-4o-mini-2024-07-18,2024-07-18,604,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,,,,,
85,google/gemini-3.1-flash-lite-preview@reasoning=default,google,default,0.2849,0.0909,0.7818,5,7,43,55,0,google/gemini-3.1-flash-lite-preview,2026-03-04,10,https://openrouter.ai/google/gemini-3.1-flash-lite-preview,,,,,
86,google/gemini-3-flash-preview@reasoning=none,google,none,0.2849,0.0727,0.7636,4,9,42,55,0,google/gemini-3-flash-preview,2025-12-17,87,https://ai.google.dev/gemini-api/docs/changelog,,,,,
87,openai/gpt-4o-mini@reasoning=default,openai,default,0.2849,0.0545,0.7455,3,11,41,55,0,openai/gpt-4o-mini,2024-07-18,604,https://developers.openai.com/api/docs/changelog,,,,,
88,google/gemma-3-27b-it@reasoning=default,google,default,0.2424,0.0364,0.8182,2,8,45,55,0,google/gemma-3-27b-it,2025-03-12,367,https://ai.google.dev/gemini-api/docs/changelog,open_weights,27,,not_disclosed,gemma
89,openai/gpt-oss-120b@reasoning=high,openai,high,0.2303,0.0364,0.7818,2,10,43,55,0,openai/gpt-oss-120b,2025-08-05,221,https://openai.com/index/introducing-gpt-oss/,open_weights,117,5.1,reported,apache-2.0
90,mistralai/mistral-large-2512@reasoning=default,mistralai,default,0.2,0.0364,0.8182,2,8,45,55,0,mistralai/mistral-large-2512,2025-12-02,102,https://docs.mistral.ai/getting-started/changelog/,,,,,
